Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
11,MALE,I,Is,0.0,0.0,3,1.0
11,MALE,Is,H,0.0,2.0,3,1.0
11,MALE,L,A,0.0,0.0,4,0.571
11,MALE,L,I,0.0,0.0,3,0.429
12,FEMALE,A,R,12.0,0.0,1,1.0
12,FEMALE,H,R,20.333,4.726,3,1.0
12,FEMALE,I,Is,0.0,0.0,5,1.0
12,FEMALE,Is,H,-1.2,5.891,5,1.0
12,FEMALE,L,A,0.0,0.0,3,0.375
12,FEMALE,L,I,0.0,0.0,5,0.625
12,MALE,H,R,11.0,0.0,2,1.0
12,MALE,I,Is,0.0,0.0,3,1.0
12,MALE,Is,H,4.667,0.577,3,1.0
12,MALE,L,A,0.0,0.0,4,0.571
12,MALE,L,I,0.0,0.0,3,0.429
13,FEMALE,A,R,5.333,9.238,3,1.0
13,FEMALE,H,R,19.0,0.0,1,1.0
13,FEMALE,I,Is,0.0,0.0,1,1.0
13,FEMALE,Is,H,3.0,0.0,1,1.0
13,FEMALE,L,A,0.0,0.0,4,0.8
13,FEMALE,L,I,0.0,0.0,1,0.2
13,MALE,H,R,16.333,4.163,3,1.0
13,MALE,I,Is,0.0,0.0,3,1.0
13,MALE,Is,H,1.333,1.528,3,1.0
13,MALE,L,A,0.0,0.0,2,0.4
13,MALE,L,I,0.0,0.0,3,0.6
14,FEMALE,H,R,-2.0,0.0,1,1.0
14,FEMALE,I,Is,0.0,0.0,1,1.0
14,FEMALE,Is,H,25.0,0.0,1,1.0
14,FEMALE,L,A,0.0,0.0,2,0.667
14,FEMALE,L,I,0.0,0.0,1,0.333
14,MALE,A,R,14.0,1.414,2,1.0
14,MALE,H,R,19.0,8.888,3,1.0
14,MALE,I,Is,0.0,0.0,3,1.0
14,MALE,Is,H,1.333,0.577,3,1.0
14,MALE,L,A,0.0,0.0,3,0.5
14,MALE,L,I,0.0,0.0,3,0.5
15,FEMALE,A,R,14.167,1.835,6,1.0
15,FEMALE,H,R,37.0,0.0,1,1.0
15,FEMALE,I,Is,0.0,0.0,3,1.0
15,FEMALE,Is,H,1.0,1.0,3,1.0
15,FEMALE,L,A,0.0,0.0,7,0.7
15,FEMALE,L,I,0.0,0.0,3,0.3
15,MALE,A,R,16.0,0.0,1,1.0
15,MALE,H,R,17.25,3.403,4,1.0
15,MALE,I,Is,0.0,0.0,4,1.0
15,MALE,Is,H,1.25,0.5,4,1.0
15,MALE,L,A,0.0,0.0,3,0.429
15,MALE,L,I,0.0,0.0,4,0.571
16,FEMALE,A,R,15.0,3.367,5,1.0
16,FEMALE,H,R,16.0,2.828,2,1.0
16,FEMALE,I,Is,0.0,0.0,3,1.0
16,FEMALE,Is,H,3.0,2.0,3,1.0
16,FEMALE,L,A,0.0,0.0,5,0.625
16,FEMALE,L,I,0.0,0.0,3,0.375
16,MALE,A,R,13.333,1.528,3,1.0
16,MALE,H,R,21.5,7.778,2,1.0
16,MALE,I,Is,0.0,0.0,2,1.0
16,MALE,Is,H,1.5,0.707,2,1.0
16,MALE,L,A,0.0,0.0,3,0.6
16,MALE,L,I,0.0,0.0,2,0.4
17,FEMALE,A,R,14.0,1.732,3,1.0
17,FEMALE,H,R,16.333,3.786,3,1.0
17,FEMALE,I,Is,0.0,0.0,3,1.0
17,FEMALE,Is,H,-0.667,2.082,3,1.0
17,FEMALE,L,A,0.0,0.0,5,0.625
17,FEMALE,L,I,0.0,0.0,3,0.375
17,MALE,A,R,6.5,9.192,2,1.0
17,MALE,H,R,20.5,4.95,2,1.0
17,MALE,I,Is,0.0,0.0,3,1.0
17,MALE,Is,H,2.667,2.517,3,1.0
17,MALE,L,A,0.0,0.0,5,0.625
17,MALE,L,I,0.0,0.0,3,0.375
18,FEMALE,A,R,13.667,2.082,3,1.0
18,FEMALE,H,R,22.333,7.572,3,1.0
18,FEMALE,I,Is,0.0,0.0,3,1.0
18,FEMALE,Is,H,4.667,2.082,3,1.0
18,FEMALE,L,A,0.0,0.0,3,0.5
18,FEMALE,L,I,0.0,0.0,3,0.5
18,MALE,H,R,18.5,0.707,2,1.0
18,MALE,I,Is,0.0,0.0,3,1.0
18,MALE,Is,H,1.333,4.509,3,1.0
18,MALE,L,A,0.0,0.0,5,0.625
18,MALE,L,I,0.0,0.0,3,0.375
19,FEMALE,A,R,16.0,0.0,1,1.0
19,FEMALE,H,R,26.5,16.263,2,1.0
19,FEMALE,I,Is,0.0,0.0,2,1.0
19,FEMALE,Is,H,0.5,0.707,2,1.0
19,FEMALE,L,A,0.0,0.0,7,0.778
19,FEMALE,L,I,0.0,0.0,2,0.222
19,MALE,A,R,16.0,0.0,1,1.0
19,MALE,H,R,18.0,3.606,5,1.0
19,MALE,I,Is,0.0,0.0,13,1.0
19,MALE,Is,H,0.692,4.131,13,1.0
19,MALE,L,A,0.0,0.0,8,0.381
19,MALE,L,I,0.0,0.0,13,0.619
20,FEMALE,A,R,10.6,4.393,5,1.0
20,FEMALE,H,R,19.0,0.0,1,1.0
20,FEMALE,I,Is,0.0,0.0,3,1.0
20,FEMALE,Is,H,1.333,1.528,3,1.0
20,FEMALE,L,A,0.0,0.0,9,0.75
20,FEMALE,L,I,0.0,0.0,3,0.25
20,MALE,A,R,16.667,5.859,3,1.0
20,MALE,H,R,24.667,15.144,3,1.0
20,MALE,I,Is,0.0,0.0,7,1.0
20,MALE,Is,H,2.714,3.147,7,1.0
20,MALE,L,A,0.0,0.0,7,0.5
20,MALE,L,I,0.0,0.0,7,0.5
21,FEMALE,A,R,12.0,2.0,3,1.0
21,FEMALE,H,R,17.667,2.517,3,1.0
21,FEMALE,I,Is,0.0,0.0,8,1.0
21,FEMALE,Is,H,0.75,1.389,8,1.0
21,FEMALE,L,A,0.0,0.0,11,0.579
21,FEMALE,L,I,0.0,0.0,8,0.421
21,MALE,A,R,8.0,7.071,2,1.0
21,MALE,H,R,19.75,3.5,4,1.0
21,MALE,I,Is,0.0,0.0,6,1.0
21,MALE,Is,H,2.5,3.332,6,1.0
21,MALE,L,A,0.0,0.0,7,0.538
21,MALE,L,I,0.0,0.0,6,0.462
22,FEMALE,A,R,12.667,5.033,3,1.0
22,FEMALE,H,R,19.75,5.679,4,1.0
22,FEMALE,I,Is,0.0,0.0,8,1.0
22,FEMALE,Is,H,1.625,2.134,8,1.0
22,FEMALE,L,A,0.0,0.0,6,0.429
22,FEMALE,L,I,0.0,0.0,8,0.571
22,MALE,A,R,17.0,2.828,2,1.0
22,MALE,H,R,21.667,1.528,3,1.0
22,MALE,I,Is,0.0,0.0,5,1.0
22,MALE,Is,H,2.4,1.342,5,1.0
22,MALE,L,A,0.0,0.0,5,0.5
22,MALE,L,I,0.0,0.0,5,0.5
23,FEMALE,A,R,13.667,2.517,3,1.0
23,FEMALE,H,R,24.0,5.657,2,1.0
23,FEMALE,I,Is,0.0,0.0,7,1.0
23,FEMALE,Is,H,1.5,1.871,6,1.0
23,FEMALE,L,A,0.0,0.0,6,0.462
23,FEMALE,L,I,0.0,0.0,7,0.538
23,MALE,A,R,18.0,0.0,1,1.0
23,MALE,H,R,22.0,1.414,2,1.0
23,MALE,I,Is,0.0,0.0,4,1.0
23,MALE,Is,H,3.25,2.63,4,1.0
23,MALE,L,A,0.0,0.0,3,0.429
23,MALE,L,I,0.0,0.0,4,0.571
24,FEMALE,A,R,14.5,3.536,2,1.0
24,FEMALE,H,R,19.0,2.16,4,1.0
24,FEMALE,I,Is,0.0,0.0,6,1.0
24,FEMALE,Is,H,1.4,1.949,5,1.0
24,FEMALE,L,A,0.0,0.0,6,0.5
24,FEMALE,L,I,0.0,0.0,6,0.5
24,MALE,A,R,16.0,0.0,1,1.0
24,MALE,H,R,19.0,2.449,4,1.0
24,MALE,I,Is,0.0,0.0,5,1.0
24,MALE,Is,H,3.2,4.658,5,1.0
24,MALE,L,A,0.0,0.0,3,0.375
24,MALE,L,I,0.0,0.0,5,0.625
25,FEMALE,A,R,17.5,2.258,6,1.0
25,FEMALE,H,R,16.444,6.56,9,1.0
25,FEMALE,I,Is,0.0,0.0,13,1.0
25,FEMALE,Is,H,2.308,2.81,13,1.0
25,FEMALE,L,A,0.0,0.0,12,0.48
25,FEMALE,L,I,0.0,0.0,13,0.52
25,MALE,A,R,14.667,4.619,3,1.0
25,MALE,H,R,18.5,3.082,6,1.0
25,MALE,I,Is,0.0,0.0,7,1.0
25,MALE,Is,H,1.571,1.272,7,1.0
25,MALE,L,A,0.0,0.0,9,0.562
25,MALE,L,I,0.0,0.0,7,0.438
26,FEMALE,H,R,19.0,0.0,1,1.0
26,FEMALE,I,Is,0.0,0.0,5,1.0
26,FEMALE,Is,H,2.8,2.49,5,1.0
26,FEMALE,L,A,0.0,0.0,6,0.545
26,FEMALE,L,I,0.0,0.0,5,0.455
26,MALE,A,R,9.0,12.728,2,1.0
26,MALE,I,Is,0.0,0.0,2,1.0
26,MALE,Is,H,1.0,0.0,1,1.0
26,MALE,L,A,0.0,0.0,7,0.778
26,MALE,L,I,0.0,0.0,2,0.222
27,FEMALE,A,R,15.5,4.95,2,1.0
27,FEMALE,H,R,20.667,3.512,3,1.0
27,FEMALE,I,Is,0.0,0.0,6,1.0
27,FEMALE,Is,H,2.667,2.16,6,1.0
27,FEMALE,L,A,0.0,0.0,10,0.625
27,FEMALE,L,I,0.0,0.0,6,0.375
27,MALE,A,R,13.0,3.082,5,1.0
27,MALE,H,R,22.5,7.047,4,1.0
27,MALE,I,Is,0.0,0.0,8,1.0
27,MALE,Is,H,1.625,1.188,8,1.0
27,MALE,L,A,0.0,0.0,11,0.579
27,MALE,L,I,0.0,0.0,8,0.421
28,FEMALE,H,R,20.667,8.327,3,1.0
28,FEMALE,I,Is,0.0,0.0,5,1.0
28,FEMALE,Is,H,2.5,3.0,4,1.0
28,FEMALE,L,A,0.0,0.0,3,0.375
28,FEMALE,L,I,0.0,0.0,5,0.625
28,MALE,A,R,19.5,2.665,6,1.0
28,MALE,H,R,20.5,11.269,4,1.0
28,MALE,I,Is,0.0,0.0,5,1.0
28,MALE,Is,H,3.25,5.252,4,1.0
28,MALE,L,A,0.0,0.0,9,0.643
28,MALE,L,I,0.0,0.0,5,0.357
29,FEMALE,A,R,15.25,4.349,4,1.0
29,FEMALE,H,R,22.0,4.561,6,1.0
29,FEMALE,I,Is,0.0,0.0,6,1.0
29,FEMALE,Is,H,1.5,2.588,6,1.0
29,FEMALE,L,A,0.0,0.0,13,0.684
29,FEMALE,L,I,0.0,0.0,6,0.316
29,MALE,A,R,16.5,4.231,6,1.0
29,MALE,H,R,19.444,4.927,9,1.0
29,MALE,I,Is,0.0,0.0,11,1.0
29,MALE,Is,H,2.273,3.165,11,1.0
29,MALE,L,A,0.0,0.0,8,0.421
29,MALE,L,I,0.0,0.0,11,0.579
30,FEMALE,A,R,16.0,2.449,4,1.0
30,FEMALE,H,R,14.0,5.657,2,1.0
30,FEMALE,I,Is,0.0,0.0,8,1.0
30,FEMALE,Is,H,1.429,1.272,7,1.0
30,FEMALE,L,A,0.0,0.0,10,0.556
30,FEMALE,L,I,0.0,0.0,8,0.444
30,MALE,A,R,13.333,4.726,3,1.0
30,MALE,H,R,21.5,3.0,4,1.0
30,MALE,I,Is,0.0,0.0,6,1.0
30,MALE,Is,H,0.833,1.169,6,1.0
30,MALE,L,A,0.0,0.0,6,0.5
30,MALE,L,I,0.0,0.0,6,0.5
31,FEMALE,A,R,12.6,5.857,5,1.0
31,FEMALE,H,R,17.25,5.188,4,1.0
31,FEMALE,I,Is,0.0,0.0,6,1.0
31,FEMALE,Is,H,1.0,0.632,6,1.0
31,FEMALE,L,A,0.0,0.0,6,0.5
31,FEMALE,L,I,0.0,0.0,6,0.5
31,MALE,A,R,9.5,3.536,2,1.0
31,MALE,H,R,18.8,5.718,5,1.0
31,MALE,I,Is,0.0,0.0,7,1.0
31,MALE,Is,H,4.571,5.968,7,1.0
31,MALE,L,A,0.0,0.0,9,0.562
31,MALE,L,I,0.0,0.0,7,0.438
32,FEMALE,A,R,17.667,3.512,3,1.0
32,FEMALE,H,R,16.8,8.497,5,1.0
32,FEMALE,I,Is,0.0,0.0,7,1.0
32,FEMALE,Is,H,6.143,7.175,7,1.0
32,FEMALE,L,A,0.0,0.0,5,0.417
32,FEMALE,L,I,0.0,0.0,7,0.583
32,MALE,A,R,16.333,3.055,3,1.0
32,MALE,H,R,18.667,7.09,6,1.0
32,MALE,I,Is,0.0,0.0,11,1.0
32,MALE,Is,H,1.5,1.78,10,1.0
32,MALE,L,A,0.0,0.0,9,0.45
32,MALE,L,I,0.0,0.0,11,0.55
33,FEMALE,A,R,11.0,0.0,1,1.0
33,FEMALE,H,R,17.25,3.403,4,1.0
33,FEMALE,I,Is,0.0,0.0,7,1.0
33,FEMALE,Is,H,5.286,8.321,7,1.0
33,FEMALE,L,A,0.0,0.0,4,0.364
33,FEMALE,L,I,0.0,0.0,7,0.636
33,MALE,A,R,16.0,0.0,2,1.0
33,MALE,H,R,18.8,2.588,5,1.0
33,MALE,I,Is,0.0,0.0,8,1.0
33,MALE,Is,H,2.75,2.659,8,1.0
33,MALE,L,A,0.0,0.0,4,0.333
33,MALE,L,I,0.0,0.0,8,0.667
34,FEMALE,A,R,16.0,1.414,2,1.0
34,FEMALE,H,R,19.5,3.697,4,1.0
34,FEMALE,I,Is,0.0,0.0,9,1.0
