Age,Sex,StateFrom,StateTo,MeanDays,StdDays,Count,Chance
34,MALE,Iv,H,0.0,0.0,6,1.0
34,MALE,U,H,1.0,0.0,1,1.0
35,FEMALE,H,R,4.0,3.0,3,1.0
35,FEMALE,Iv,H,0.0,0.0,3,1.0
35,MALE,H,R,4.0,0.0,1,1.0
35,MALE,I,Is,0.0,0.0,2,1.0
35,MALE,Is,H,1.0,1.414,2,1.0
35,MALE,Iv,H,0.0,0.0,1,1.0
36,FEMALE,H,R,5.667,1.211,6,1.0
36,FEMALE,Iv,H,0.0,0.0,6,1.0
36,MALE,H,R,5.0,3.536,5,1.0
36,MALE,I,Is,0.0,0.0,3,0.75
36,MALE,I,Iv,0.0,0.0,1,0.25
36,MALE,Is,H,1.333,1.528,3,1.0
36,MALE,Iv,H,0.0,0.0,5,1.0
37,FEMALE,H,R,4.75,2.872,4,1.0
37,FEMALE,I,Is,0.0,0.0,2,1.0
37,FEMALE,Is,H,2.5,0.707,2,1.0
37,FEMALE,Iv,H,0.0,0.0,5,1.0
37,MALE,H,R,5.375,2.925,8,1.0
37,MALE,I,Is,0.0,0.0,4,0.8
37,MALE,I,Iv,9.0,0.0,1,0.2
37,MALE,Is,H,3.5,2.517,4,1.0
37,MALE,Iv,H,0.0,0.0,8,1.0
38,FEMALE,H,R,4.667,1.862,6,1.0
38,FEMALE,I,Iv,8.0,0.0,1,1.0
38,FEMALE,Iv,H,0.429,1.134,7,1.0
38,MALE,H,R,5.0,2.07,8,1.0
38,MALE,I,Is,0.0,0.0,1,1.0
38,MALE,Is,H,0.0,0.0,1,1.0
38,MALE,Iv,H,0.0,0.0,10,1.0
39,FEMALE,H,R,9.333,3.777,6,1.0
39,FEMALE,I,Is,0.0,0.0,1,1.0
39,FEMALE,Is,H,0.0,0.0,1,1.0
39,FEMALE,Iv,H,0.0,0.0,6,1.0
39,MALE,H,R,6.333,3.24,9,1.0
39,MALE,I,Is,0.0,0.0,3,0.75
39,MALE,I,Iv,0.0,0.0,1,0.25
39,MALE,Is,H,3.0,2.646,3,1.0
39,MALE,Iv,H,0.0,0.0,9,1.0
40,FEMALE,H,R,5.4,3.209,5,0.833
40,FEMALE,H,U,11.0,0.0,1,0.167
40,FEMALE,I,Is,0.0,0.0,1,0.333
40,FEMALE,I,Iv,2.0,2.828,2,0.667
40,FEMALE,Is,H,0.0,0.0,1,1.0
40,FEMALE,Iv,H,0.0,0.0,6,1.0
40,FEMALE,U,H,1.0,0.0,1,1.0
40,MALE,H,R,4.167,2.563,6,1.0
40,MALE,I,Is,0.0,0.0,9,0.9
40,MALE,I,Iv,0.0,0.0,1,0.1
40,MALE,Is,H,5.333,5.123,9,1.0
40,MALE,Iv,H,0.0,0.0,6,1.0
41,FEMALE,H,R,7.0,7.183,6,1.0
41,FEMALE,I,Iv,0.0,0.0,1,1.0
41,FEMALE,Iv,H,0.0,0.0,6,1.0
41,MALE,H,R,7.5,3.555,12,0.923
41,MALE,H,U,0.0,0.0,1,0.077
41,MALE,I,Is,0.0,0.0,1,0.333
41,MALE,I,Iv,5.0,5.657,2,0.667
41,MALE,Is,H,6.0,0.0,1,1.0
41,MALE,Iv,H,0.357,1.336,14,1.0
41,MALE,U,H,13.0,0.0,1,1.0
42,FEMALE,H,R,5.0,1.826,4,1.0
42,FEMALE,I,Is,0.0,0.0,1,0.5
42,FEMALE,I,Iv,1.0,0.0,1,0.5
42,FEMALE,Is,H,3.0,0.0,1,1.0
42,FEMALE,Iv,H,0.0,0.0,4,1.0
42,MALE,H,R,7.778,4.177,9,0.818
42,MALE,H,U,0.5,0.707,2,0.182
42,MALE,I,Is,0.0,0.0,2,0.667
